,6,7,8,9,10
SVMNN,73.85057471264368,74.65771812080537,76.04214559386972,76.92241379310344,77.56459330143541
CNN,75.99425287356321,76.82550335570471,78.04214559386973,78.92241379310346,80.04306220095694
LGBM-NN,77.99425287356321,78.8255033557047,80.23371647509578,80.92241379310344,82.2822966507177
BCO based LGBM-NN,80.13793103448276,80.99328859060402,82.42528735632183,82.92241379310344,84.52153110047847
RFO based LGBM-NN,82.13793103448276,82.99328859060402,84.42528735632183,84.92241379310344,86.52153110047847
SVO based LGBM-NN,92.85632183908046,93.66442953020133,94.80842911877394,95.78448275862068,96.76076555023923
