,6,7,8,9,10
SVMNN,74.91789819376027,75.90412272291466,76.93158182813356,77.92302955665025,78.89747095010253
CNN,76.92816091954022,77.91610738255032,78.93158182813356,79.92302955665025,80.93164730006835
LGBM-NN,78.92816091954022,79.91610738255032,80.94526546250684,81.92302955665023,82.94873547505127
BCO based LGBM-NN,80.93842364532019,81.928092042186,82.95894909688012,83.92302955665023,84.96582365003417
RFO based LGBM-NN,82.93842364532019,83.928092042186,84.95894909688012,85.92302955665025,86.96582365003417
SVO based LGBM-NN,92.98973727422002,93.97603068072866,94.9863163656267,95.98460591133005,96.98291182501708
