,6,7,8,9,10
SVO based LGBM-NN with Epochs=20,84.90917347865576,85.89417989417989,86.88744588744589,87.89310009718173,88.91341991341992
SVO based LGBM-NN with Epochs=40,86.90917347865576,87.90929705215417,88.88744588744588,89.9028182701652,90.9134199134199
SVO based LGBM-NN with Epochs=60,88.9156610873232,89.91685563114133,90.88744588744588,91.9028182701652,92.9134199134199
SVO based LGBM-NN with Epochs=80,90.92214869599064,91.91685563114133,92.90476190476188,93.91253644314868,94.93506493506493
SVO based LGBM-NN with Epochs=100,92.93512391332554,93.9395313681028,94.9134199134199,95.91253644314868,96.93506493506493
