,6,7,8,9,10
SVO based LGBM-NN with Epochs=20,83.09264305177112,83.77777777777779,84.63636363636363,85.75510204081633,87.18181818181819
SVO based LGBM-NN with Epochs=40,85.0926430517711,86.09523809523809,86.63636363636363,87.95918367346938,89.18181818181819
SVO based LGBM-NN with Epochs=60,87.22888283378745,88.25396825396825,88.63636363636363,89.95918367346938,91.18181818181819
SVO based LGBM-NN with Epochs=80,89.3651226158038,90.25396825396825,90.99999999999999,92.16326530612244,93.63636363636363
SVO based LGBM-NN with Epochs=100,91.6376021798365,92.73015873015873,93.18181818181817,94.16326530612244,95.63636363636363
