,6,7,8,9,10
SVO based LGBM-NN with Epochs=20,84.82660391379737,85.79797979797979,86.78512396694215,87.79591836734694,88.83471074380166
SVO based LGBM-NN with Epochs=40,86.82660391379737,87.82683982683983,88.78512396694214,89.81447124304268,90.83471074380165
SVO based LGBM-NN with Epochs=60,88.83898934852613,89.84126984126983,90.78512396694214,91.81447124304268,92.83471074380165
SVO based LGBM-NN with Epochs=80,90.8513747832549,91.84126984126983,92.81818181818183,93.8330241187384,94.87603305785125
SVO based LGBM-NN with Epochs=100,92.87614565271241,93.88455988455988,94.83471074380165,95.8330241187384,96.87603305785125
