,40,50,60,70,80
SVMNN,73.41380229150013,74.51422179610098,75.63229416466827,76.65921192758253,77.6802557953637
CNN,75.49906741273647,76.57813998082455,77.6642685851319,78.76570820021298,79.7761790567546
LGBM-NN,77.61630695443644,78.60370725471397,79.74420463629096,80.80830670926517,81.87210231814548
BCO based LGBM-NN,79.62696509459099,80.6420581655481,81.7761790567546,82.85090521831735,83.87210231814548
RFO based LGBM-NN,81.63762323474553,82.73154362416108,83.84012789768185,84.87220447284345,85.96802557953637
SVO based LGBM-NN,91.8294697575273,92.80824544582933,93.93605115907273,94.95740149094782,96.234
