,40,50,60,70,80
SVMNN,73.68596551330364,74.73976167648267,75.80301473107228,76.81743496120494,77.828708461802
CNN,75.7316432568231,76.77400356115601,77.82014388489209,78.87448653582838,79.8800959232614
LGBM-NN,77.79445015416238,78.78770031502533,79.86296676944158,80.89730716567777,81.93148338472079
BCO based LGBM-NN,79.80015987210231,80.80824544582933,81.8800959232614,82.92012779552715,83.93148338472079
RFO based LGBM-NN,81.80586959004225,82.856184084372,83.91435423090098,84.93153811045184,85.98287084618019
SVO based LGBM-NN,91.90864451296106,92.89727434598,93.9657416923604,94.97717937015061,96.0
