,40,50,60,70,80
SVMNN,69.603517186251,71.35666347075743,73.24220623501199,74.44408945686901,75.60191846522783
CNN,72.24300559552357,73.83604985618408,75.4820143884892,77.24281150159744,78.32134292565947
LGBM-NN,75.12230215827337,76.02780441035473,78.08153477218225,79.56230031948881,81.04076738609112
BCO based LGBM-NN,77.20223820943245,78.31543624161074,80.32134292565947,81.8817891373802,83.04076738609112
RFO based LGBM-NN,79.28217426059152,80.98657718120805,82.8009592326139,84.04153354632588,85.76019184652279
SVO based LGBM-NN,90.72102318145483,91.56184084372003,93.52038369304556,94.68051118210862,96.0
