,6,7,8,9,10
SVO based LGBM-NN with Epochs=20,84.88505747126437,85.88814317673378,86.94891443167305,87.88505747126437,88.93620414673047
SVO based LGBM-NN with Epochs=40,86.90421455938697,87.88814317673376,88.94891443167306,89.88505747126436,90.93620414673047
SVO based LGBM-NN with Epochs=60,88.90421455938696,89.88814317673376,90.94891443167305,91.91379310344827,92.96810207336523
SVO based LGBM-NN with Epochs=80,90.94252873563218,91.93288590604027,92.94891443167305,93.94252873563218,94.96810207336523
SVO based LGBM-NN with Epochs=100,92.98084291187737,93.95525727069351,94.97445721583652,95.97126436781609,96.96810207336523
