,6,7,8,9,10
SVO based LGBM-NN with Epochs=20,84.13793103448276,85.16107382550335,86.61685823754789,87.13793103448276,88.52153110047847
SVO based LGBM-NN with Epochs=40,86.28160919540228,87.16107382550335,88.61685823754787,89.13793103448275,90.52153110047847
SVO based LGBM-NN with Epochs=60,88.28160919540228,89.16107382550335,90.61685823754789,91.35344827586206,92.76076555023923
SVO based LGBM-NN with Epochs=80,90.56896551724137,91.496644295302,92.61685823754789,93.56896551724138,94.76076555023923
SVO based LGBM-NN with Epochs=100,92.85632183908046,93.66442953020133,94.80842911877394,95.78448275862068,96.76076555023923
