,6,7,8,9,10
SVO based LGBM-NN with Epochs=20,84.9384236453202,85.94007670182167,86.97263273125341,87.9384236453202,88.96582365003418
SVO based LGBM-NN with Epochs=40,86.94868637110017,87.94007670182167,88.97263273125343,89.93842364532019,90.96582365003418
SVO based LGBM-NN with Epochs=60,88.94868637110015,89.94007670182165,90.97263273125341,91.95381773399014,92.98291182501708
SVO based LGBM-NN with Epochs=80,90.96921182266009,91.964046021093,92.97263273125341,93.9692118226601,94.98291182501708
SVO based LGBM-NN with Epochs=100,92.98973727422002,93.97603068072866,94.9863163656267,95.98460591133005,96.98291182501708
