,40,50,60,70,80
SVO based LGBM-NN with Epochs=20,83.82299874386206,84.856184084372,85.914354230901,86.93153811045184,87.98287084618019
SVO based LGBM-NN with Epochs=40,85.82870846180197,86.86303246130666,87.914354230901,88.93153811045184,89.98287084618019
SVO based LGBM-NN with Epochs=60,87.87438620532144,88.88357759211067,89.92291880781089,90.93153811045184,92.0
SVO based LGBM-NN with Epochs=80,89.90864451296106,90.89727434598,91.92291880781089,92.96576905522592,94.0
SVO based LGBM-NN with Epochs=100,91.90864451296106,92.89727434598,93.9657416923604,94.97717937015061,96.0
