,40,50,60,70,80
SVO based LGBM-NN with Epochs=20,83.66959765520916,84.73154362416108,85.84012789768185,86.87220447284345,87.96802557953637
SVO based LGBM-NN with Epochs=40,85.68025579536369,86.74432726110577,87.84012789768185,88.87220447284345,89.96802557953636
SVO based LGBM-NN with Epochs=60,87.76552091660004,88.7826781719399,89.85611510791365,90.87220447284345,92.234
SVO based LGBM-NN with Epochs=80,89.8294697575273,90.80824544582933,91.85611510791367,92.93610223642172,94.234
SVO based LGBM-NN with Epochs=100,91.8294697575273,92.80824544582933,93.93605115907273,94.95740149094782,96.234
