,40,50,60,70,80
SVO based LGBM-NN with Epochs=20,81.52198241406875,82.98657718120805,84.8009592326139,86.04153354632588,87.76019184652279
SVO based LGBM-NN with Epochs=40,83.60191846522783,85.08245445829338,86.8009592326139,88.04153354632587,89.76019184652277
SVO based LGBM-NN with Epochs=60,86.2414068745004,87.37008628954936,88.9208633093525,90.04153354632587,92.0
SVO based LGBM-NN with Epochs=80,88.72102318145483,89.56184084372003,90.92086330935251,92.52076677316293,94.0
SVO based LGBM-NN with Epochs=100,90.72102318145483,91.56184084372003,93.52038369304556,94.68051118210862,96.0
