,40,50,60,70,80
SVMNN,73.70418470418471,74.77056277056276,75.76731601731602,76.77633477633478,77.77272727272727
CNN,75.71861471861472,76.77489177489176,77.83766233766234,78.77633477633476,79.82683982683983
LGBM-NN,77.73665223665222,78.8051948051948,79.83766233766232,80.79076479076478,81.83766233766234
BCO based LGBM-NN,79.75829725829725,80.8051948051948,81.83766233766234,82.8051948051948,83.84848484848484
RFO based LGBM-NN,81.76190476190476,82.8138528138528,83.83766233766234,84.81962481962482,85.85930735930735
SVO based LGBM-NN,91.81601731601731,92.86580086580086,93.87012987012987,94.87734487734487,95.93506493506493
