,40,50,60,70,80
SVMNN,67.78787878787878,70.18181818181817,71.11363636363637,72.3030303030303,73.22727272727273
CNN,70.0909090909091,72.27272727272727,74.59090909090908,74.3030303030303,76.36363636363637
LGBM-NN,72.46969696969697,74.9090909090909,76.5909090909091,76.6060606060606,78.5909090909091
BCO based LGBM-NN,74.92424242424242,76.9090909090909,78.5909090909091,78.9090909090909,80.81818181818181
RFO based LGBM-NN,76.99999999999999,79.0909090909091,80.5909090909091,81.21212121212122,83.04545454545455
SVO based LGBM-NN,88.13636363636363,90.18181818181817,91.27272727272727,92.42424242424242,94.63636363636363
