,40,50,60,70,80
SVMNN,73.43526170798897,74.56198347107438,75.55578512396694,76.57300275482093,77.56611570247934
CNN,75.46280991735537,76.57024793388429,77.69008264462809,78.57300275482093,79.6694214876033
LGBM-NN,77.49724517906336,78.62809917355371,79.69008264462809,80.60055096418732,81.69008264462809
BCO based LGBM-NN,79.53856749311295,80.62809917355371,81.69008264462809,82.62809917355372,83.71074380165288
RFO based LGBM-NN,81.54545454545455,82.64462809917354,83.69008264462809,84.65564738292011,85.73140495867769
SVO based LGBM-NN,91.64876033057851,92.74380165289256,93.75206611570248,94.76584022038567,95.87603305785125
