,6,7,8,9,10
SVMNN,74.86376021798365,75.8639455782313,76.85281385281385,77.85422740524781,78.88095238095238
CNN,76.87673543531855,77.86394557823128,78.86147186147186,79.89310009718173,80.88095238095238
LGBM-NN,78.87673543531854,79.87150415721842,80.87878787878788,81.89310009718173,82.8917748917749
BCO based LGBM-NN,80.88322304398598,81.87906273620558,82.87878787878788,83.89310009718173,84.9025974025974
RFO based LGBM-NN,82.89619826132088,83.88662131519274,84.87878787878788,85.89310009718173,86.9025974025974
SVO based LGBM-NN,92.93512391332554,93.9395313681028,94.9134199134199,95.91253644314868,96.93506493506493
