,6,7,8,9,10
SVMNN,74.73990587069606,75.74025974025975,76.7190082644628,77.72170686456401,78.77272727272727
CNN,76.76467674015358,77.74025974025973,78.73553719008264,79.79591836734694,80.77272727272728
LGBM-NN,78.76467674015358,79.75468975468975,80.76859504132231,81.79591836734693,82.79338842975207
BCO based LGBM-NN,80.77706217488233,81.76911976911977,82.76859504132231,83.79591836734693,84.81404958677686
RFO based LGBM-NN,82.80183304433984,83.78354978354977,84.76859504132231,85.79591836734693,86.81404958677686
SVO based LGBM-NN,92.87614565271241,93.88455988455988,94.83471074380165,95.8330241187384,96.87603305785125
