,6,7,8,9,10
SVMNN,72.13896457765668,73.14285714285714,73.9090909090909,74.9387755102041,76.5
CNN,74.41144414168936,75.14285714285714,76.0909090909091,77.75510204081633,78.50000000000001
LGBM-NN,76.41144414168937,77.30158730158729,78.45454545454545,79.75510204081631,80.72727272727272
BCO based LGBM-NN,78.54768392370572,79.46031746031746,80.45454545454545,81.75510204081633,82.95454545454545
RFO based LGBM-NN,80.82016348773841,81.61904761904762,82.45454545454545,83.75510204081633,84.95454545454545
SVO based LGBM-NN,91.6376021798365,92.73015873015873,93.18181818181817,94.16326530612244,95.63636363636363
