,40,50,60,70,80
SVO based LGBM-NN with Epochs=20,83.62809917355372,84.65289256198348,85.71074380165288,86.6831955922865,87.77272727272727
SVO based LGBM-NN with Epochs=40,85.64187327823691,86.68595041322314,87.72107438016528,88.6969696969697,89.77272727272727
SVO based LGBM-NN with Epochs=60,87.6418732782369,88.68595041322314,89.72107438016528,90.75206611570246,91.77272727272727
SVO based LGBM-NN with Epochs=80,89.6487603305785,90.70247933884296,91.74173553719007,92.76584022038567,93.81404958677685
SVO based LGBM-NN with Epochs=100,91.64876033057851,92.74380165289256,93.75206611570248,94.76584022038567,95.87603305785125
