,40,50,60,70,80
SVO based LGBM-NN with Epochs=20,83.8051948051948,84.81818181818181,85.84848484848486,86.83405483405483,87.88095238095238
SVO based LGBM-NN with Epochs=40,85.81240981240981,86.83549783549782,87.85389610389609,88.84126984126983,89.88095238095238
SVO based LGBM-NN with Epochs=60,87.8124098124098,88.83549783549782,89.85389610389609,90.87012987012987,91.88095238095238
SVO based LGBM-NN with Epochs=80,89.81601731601731,90.84415584415584,91.86471861471861,92.87734487734487,93.9025974025974
SVO based LGBM-NN with Epochs=100,91.81601731601731,92.86580086580086,93.87012987012987,94.87734487734487,95.93506493506493
