,40,50,60,70,80
SVO based LGBM-NN with Epochs=20,79.9090909090909,81.18181818181817,82.81818181818181,83.51515151515152,85.5
SVO based LGBM-NN with Epochs=40,82.06060606060606,83.54545454545455,84.93181818181819,85.66666666666667,87.5
SVO based LGBM-NN with Epochs=60,84.06060606060605,85.54545454545453,86.93181818181817,88.27272727272727,89.49999999999999
SVO based LGBM-NN with Epochs=80,86.13636363636363,87.72727272727272,89.15909090909089,90.42424242424242,91.95454545454544
SVO based LGBM-NN with Epochs=100,88.13636363636363,90.18181818181817,91.27272727272727,92.42424242424242,94.63636363636363
